原文	訂正	個別評価	評価
昨日は父ちゃんのお誕生日、多いかぞくに来た、父ちゃんのいちばんともだちも。	昨日は父ちゃんのお誕生日、多いかぞくが来た、父ちゃんのいちばんのともだちも。	"3,4,3"	3.3333333333333335
世界も、狭くなるとともに解かりが増えるし、未来も、解かりが増えるとともによりよくなる。	世界も、狭くなるとともにも、解かりが増えるし、未来も、解かりが増えるとともによりよくなる。	"2,2,2"	2.0
これは「天下り」というだろうけど、就職した社員の民間に仕事は、日本の天下りの仕事に比べてよくないみたい。	これは「Salvation」というだろうけど、就職した社員の民間人に仕事は、日本の講座の仕事に比べてよくないみたい。	"1,1,1"	1.0
よく電子メールで日本人の友だちに教えてもらってよかったです。	よく電子メールで日本人の友だちに教えてもらえてよかったです。	"4,4,4"	4.0
二人は幸せのようです。	二人は幸せです。	"3,4,3"	3.3333333333333335
いままで、ちょっと淋しいです。	いままで、ちょっと淋しいです。	"4,4,4"	4.0
また、定期試験の時学年論文ばかり考えせざるを得ず、死ぬほど忙しいとは言わないまでもない。	また、定期試験の時学年論文ばかり考えせざるを得ず、死ぬほど忙しいとは言わないまでもない。	"4,4,4"	4.0
その曲名は＜翼をください＞。	その曲名は＜翼をください＞。	"4,4,4"	4.0
昨日、とても楽しかったです。	昨日はとても楽しかったです。	"4,4,3"	3.6666666666666665
この論文のトピックは日本における失業。	この論文のトピックは日本における失業です。	"4,4,3"	3.6666666666666665
仮に誰かが日本語で話しかけるとしたら、私は途切れる言葉しか答えられないと思います。	仮に誰かが日本語で話しかけるとしたら、私は間違ってしまう言葉しか答えられないと思います。	"1,1,2"	1.3333333333333333
父ちゃんのお誕生日	父ちゃんのお誕生日	"2,3,3"	2.6666666666666665
日本で高校を卒業してすぐ就職する人が多いですか。	日本で高校を卒業してすぐ就職する人が多いですか。	"4,4,4"	4.0
そう思うと、心から感激も生まれてくるのです。	そう思うと、心から感激も生まれてくるのです。	"4,4,4"	4.0
工学の専攻を取りたいが、僕の今まで教育の歴史がまだ足りないが、本当にざんえんだと思います。	工学の専攻を取りたいが、僕の今まで教育の歴史がまだ足りないが、本当に変人えんだと思います。	"1,1,1"	1.0
雇えるかどうかのは不確定です	働くかどうかは不確定です	"1,1,2"	1.3333333333333333
アングロサクソン人が少数民族になる。	ばかりの人が少数民族になる。	"1,1,1"	1.0
事実上は私もこのよう様の性格を持っているようですけど、怠けないときに自分の性格を抑えます。	事実上は私もこのよう様の性格を持っているようですけど、怠けないときに自分の性格を抑えます。	"1,2,1"	1.3333333333333333
昔からタバコを吸ったり酒を飲んだりしたので、普通だからやっぱり大丈夫だと思いそうだ。	昔からタバコを吸ったり酒を飲んだりしていたので、普通だからやっぱり大丈夫だと思いそうだ。	"4,4,3"	3.6666666666666665
だけど、そんな中に勉強の意味、大学院を受ける意味もだんだん分からなくなった。	だけど、そんな中で勉強する意味、大学院を受ける意味もだんだん分からなくなった。	"4,4,4"	4.0
毎年、アメリカ人はクリスマスの天気を見ます。	毎年、アメリカ人はクリスマスの天気を見ます。	"4,4,4"	4.0
また、英語だけでなく、この教育を加える言語も日本語や、ホッキエン語などを学んだ。	また、英語だけでなく、この教育を加える言語も日本語や、ぜひエン語などを学んだ。	"1,1,1"	1.0
みんな、正しい方法で使えば、一ヶ月に２－３キロをやせられますよ。	みんな、正しい方法で使えば、一ヶ月に２－３キロをやせられますよ。	"4,3,4"	3.6666666666666665
エリックともうします。	エリックと申します。	"4,4,3"	3.6666666666666665
それでも、もし勉強を始まるなら日本語は多分小さくなります。	それでも、もし勉強を始めたなら日本語は多分小さくなります。	"4,4,4"	4.0
駅でクリスマス（Light Show)を見ました。	駅でクリスマス（ばかり）を見ました。	"1,1,1"	1.0
あまり勉強できないのに神経質じゃなかった。	あまり勉強できないのに神経質じゃなかった。	"4,4,4"	4.0
でも、寮へ帰る途中で、グラスメートは私に「道具を作り直して」と言いました。	でも、寮へ帰る途中で、クラスメートは私に「道具を作り直して」と言いました。	"4,4,4"	4.0
私にとって、それはまたとないチャンスだ。	私にとって、それはまたとないチャンスだ。	"4,4,4"	4.0
新しい学期を準備しながら。。。	新しい学期を準備しながら。。。	"4,4,3"	3.6666666666666665
最後、努力しながら自分を失わないで、世界での楽しいこととか美しいこととか続けて探し、喜んで人生を楽しんでください！！	最後、努力しながら自分を失わないで、世界での楽しいこととか美しいこととか続けて探し、喜んで人生を楽しんでください！！	"4,3,4"	3.6666666666666665
後でピザを食べます。	その後でピザを食べます。	"3,4,3"	3.3333333333333335
イミリーがランシカートをそとへだすからわたしはドアをあけました。	TargetがTargetをそとへだすからわたしはドアをあけました。	"1,1,1"	1.0
とても楽しかった打と思う。	とても楽しかったと思う。	"4,4,4"	4.0
3月18日：無理しなくてもいい。	3月18日：無理しなくてもいいよ。	"4,4,3"	3.6666666666666665
イミリーがランシカートをそとへだすからわたしはドアをあけました。	血行が（が）ふもとをそとへだすからわたしはドアをあけました。	"1,1,1"	1.0
弟の奥さんはきれいで体もよろしい。	弟の奥さんはきれいで体もいいです。	"4,4,3"	3.6666666666666665
江戸時代には侍だけが名字をあることができました。	江戸時代には侍だけが名字を持つことができました。	"4,4,4"	4.0
今日は土曜日です。	今日は土曜日です。	"4,4,4"	4.0
大震災の際には、私たちのやるべきことは助け合ったり、デマの悪影響を最小化したりするのではないか。	大震災の際には、私たちのやるべきことは助け合ったり、デマの悪影響を最小化したりするのではないか。	"4,4,4"	4.0
「藤」がある日本人の名字は多いです。	「藤」がある日本人の名字は多くあります。	"4,4,3"	3.6666666666666665
どうしてかな。	どうしてかな。	"4,4,4"	4.0
学生生活中にオーストラリア人の学生は一所懸命勉強させられますけど日本人の学生の学習量はもっと軽いそうです。	学生生活中にオーストラリア人の学生は一所懸命勉強させられますけど日本人の学生の学習量はもっと軽いそうです。	"4,4,4"	4.0
こういう発想は変で、ちょっと極端的かもしれないが、私は確か時々がそう思う。	こういう発想は変で、ちょっと極端かもしれないが、私は確かに時々がそう思う。	"4,4,3"	3.6666666666666665
